Fund_id,Project_id,Donor_num,Cum_amount,Target_amount
758,53641486939505149HH85585,298,453.84,322105.00 
142,53271257738461953XV72715,311,21813.51,221453.00 
212,53854100715204629MP91492,1808,11783.79,100000.00 
212,53989473071643810KP20795,270,2212.91,500000.00 
758,53530089554303823OI45906,373,640.64,320596.00 
758,53366692214561315OU73338,91,245.79,78947.00 
719,53890866513708953HB79089,91,368.76,258756.00 
212,53587836755146937RN31965,17082,1381793.02,1500000.00 
754,53441176441261796UA52547,59,347.53,430000.00 
346,53947253821370241QZ53778,76,812.11,1500000.00 
754,53905843658195054OZ53969,409,9363.61,2150538.00 
737,53290022350948311LU17132,246,2668.73,550000.00 
212,53815019203918329OA97478,749,173290.92,308000.00 
770,53641937107818152TA48247,163,1144.8,1646100.00 
528,53601551312082954VG90990,124,800.67,95556.00 
212,53456885023960579UR91101,4373,302891.39,360148.00 
719,53556858964142710PH60011,420,6160.31,100000.00 
719,53420384499848916KY11072,324,2413.59,89347.00 
719,53839857451759488LD75860,306,5650.24,530000.00 
869,53905878090572085SF41927,230,999.01,396000.00 
749,53341026474890662UB37610,30778,994856.33,3000000.00 
984,53664048529082165XL33090,77,140.07,500000.00 
212,53199309482661799NK82419,794,250737.12,296000.00 
228,53739483534766224XK43435,233,1287.87,324800.00 
79,53816268263444592OO91391,2204,34531.11,5500000.00 
333,53402577363024323GN48451,1422,15618.01,1000000.00 
116,53972980077289241TX87296,611,3356.88,318421.00 
834,53326680592188123CI33610,651,7406.96,51228.00 
272,53395284860145132UH78621,174,772.19,396000.00 
756,53601367302239063GV14772,259,9927.28,315000.00 
737,53107587538098086HD80509,1019,7164.78,800000.00 
406,53583945285026046KO12795,379,4227.36,100000.00 
299,5390821445937041YV69150,404,2694.41,1000000.00 
79,53493024870575250OG42045,77,277.63,1176471.00 
292,53153087448409595OK46082,374,2760.06,60000.00 
530,53402958592092104BG47468,371,2735.5,500000.00 
872,53182940578779669HB58321,231,2498.49,1374000.00 
719,53767974997312822BX91518,120,3561.77,161000.00 
426,53892465890097787FT89503,279,4627.94,1200000.00 
719,53181053598640487MJ96935,635,1359.71,140000.00 
794,53795893441704036OV83515,1015,203690.62,5000000.00 
794,53819675559554354HX43459,798,11040.9,100000.00 
73,53929404609512988SO19180,165,2045.04,10000000.00 
725,53967386910453638SR69810,0,0,1000000.00 
725,53458242821711195HI18839,282,31358.76,1000000.00 
976,53760834481001172BK40096,1107,4760.64,782775.00 
737,53908557416244268QN88754,42,538.33,809328.00 
79,53139938239802696ZD16143,1020,14010.13,1058000.00 
888,53352393779392379CZ80460,240,1726.06,5000000.00 
79,53855533225532222OW30132,274,3036.75,330000.00 
79,53464020830412484BK79154,233,1137.72,1391000.00 
134,53485683853235381QS83157,171,257.49,58385.00 
79,53287770152959154SZ96975,177,1765.67,165000.00 
736,53121078438941949YB55579,452,9706.23,200120.00 
79,53337006433139819NC30880,169,1683.72,200000.00 
719,53540142101626473RH17719,290,13614.41,30000.00 
986,53252387874889304ZB60791,406,7379.18,500000.00 
980,53931439166391505AG42200,396,5929.15,387450.00 
863,53416129739221757HY24733,175,1000.41,870000.00 
727,53952993754085988QZ75800,226,3348.19,520000.00 
794,53865076731435075MO70595,148,3783.46,500000.00 
725,53114614266371920BH86323,12050,725972.74,5000000.00 
283,53194259355228584BZ59754,93,1173.22,600000.00 
174,53604525367013219RM47253,55,402.04,10450.00 
725,53933656082008749RP78721,330,14367.66,250000.00 
292,53941509446443311TV93567,241,2680.79,100000.00 
766,53479439193565578GK14760,93,233.54,799177.00 
749,53566830040461219VG46714,216,8506,1599912.00 
745,53806339218981733LM14490,228,13545.43,1000000.00 
719,53831601967517426EY40741,155,1210.88,2000000.00 
736,53361465967811887DD49866,587,4337.38,69740.00 
736,53680897156547338FR59053,824,24014.97,50000.00 
719,53376542078123816VK11153,376,2639.12,100000.00 
770,53570956530106712OA71919,158,20952.99,691000.00 
770,53583371860539532QP49640,104,1037.62,2935000.00 
719,53294556473580925WN18432,315,49074.38,700000.00 
719,53782322477958808VX26840,229,2522.17,1000000.00 
727,53111228674715572FL46021,2008,33542.93,50000.00 
976,53252241023385409CK78809,59,177.48,65718.00 
803,53576202110486216PV70603,511,9277.91,150000.00 
721,53365639585669743FP16988,932,5150.61,105263.00 
737,53262908269836159HZ30748,590,2081.86,104526.00 
749,53828414829021726KE90799,123,1088.36,149500.00 
986,53980609150792662YA69292,161,1775.54,500000.00 
916,53477802865312262DB55532,465,11231.39,100500.00 
79,53480272463473871EL20470,195,2069.15,1650000.00 
756,53557954882847868NT60915,1303,48006.86,1000000.00 
916,53825148236931849PL60899,279,5489.97,175140.00 
976,53430005741518905YF28152,292,20384.2,10000000.00 
756,53102017862653196XE23315,93,1336.24,1500000.00 
765,53637198222489307ZP45477,18008,2002227.89,6000000.00 
756,53243355737352601XF42607,49,139.58,10000000.00 
719,53845301180640989FQ81762,4146,27573.32,100760.00 
756,53539152729395463BH26233,230,4904.63,1000000.00 
756,53733190932468897EE54116,82,1060.69,110000.00 
756,53385383070259771QL50622,44,717.96,666000.00 
756,53886547951141372MN67218,87,283.23,10000000.00 
134,53337828417437798OR26077,948,10626.2,55356.00 
421,53509661157912562RK56218,455,3162.83,200000.00 
927,53486130325242152QN73179,1042,11661.1,150000.00 
721,53919008823577309DQ88980,1332,18507.31,127600.00 
927,53774602466237652IC70780,1062,10698.36,200000.00 
927,53224473165791098JM76431,1308,20630.23,200000.00 
770,53587054632417728RQ37706,353,4236.01,5000000.00 
756,53933497351166490OU48950,304,1490.62,1204500.00 
756,53133558179737365TD84624,91,320.16,990000.00 
756,53406307189594181TR88321,270,1222.97,612280.00 
756,53560275837873314FA74556,264,3442.78,10000000.00 
756,53649069695219546GV27843,90,268.32,100000.00 
756,53343158998013433AT87394,1160,12739.61,100000.00 
980,53384812850502609MF68103,770,9474.22,481746.00 
737,53593756043304214LM92264,119,2403.92,1000000.00 
737,53287893213159248WV30110,474,6784.2,1000000.00 
756,53182487492272692GF21609,69,1070.09,300000.00 
299,53383406670949048CG78988,470,8105.42,93000.00 
745,53475751404832577ME99421,697,1869.39,200000.00 
756,53932759146679362HE81422,296,1974.98,3000000.00 
756,53544427715180534KK16752,63,583.08,5000000.00 
142,53863118950015063DE54380,1061,9027.17,45006.00 
869,53138909536014118WJ31710,293,2330.16,206000.00 
756,53522662272702764RN13327,38,114.92,319000.00 
869,53536724705339747BK98178,306,2399,253000.00 
497,53963619737068847TS90546,155,561.23,2200000.00 
756,53240615638633095JC38132,101,804.7,5000000.00 
756,53378984234138709TY51582,63,507.66,5000000.00 
888,53239165030985151FQ44827,560,5868.16,200000.00 
754,53963533711163100NU92894,311,6150.49,179368.00 
719,53657435519982525VO76054,638,2209.45,200000.00 
756,53284602998739218RS44127,569,3929.43,2200000.00 
756,53788957547696001GQ58256,173,1213.38,5000000.00 
721,53834096523727192NY62760,275,2700.67,507895.00 
916,53539053811758331LP48580,592,7007.21,100184.00 
916,53313563372848422HA11804,354,5371.61,26560.00 
736,53592911544604293KM85375,847,6313.61,85470.00 
736,53304023778153506ML76344,340,8476.83,148016.00 
212,53198567458564962VE73237,830,33412.38,50000.00 
736,53517504544932901MQ31991,218,2492.35,120000.00 
916,53369387259276671EA59136,1517,13913.09,69125.00 
736,53676996412161247RE69399,1725,56164.65,205920.00 
756,53293657044407199RF42880,59,233.91,306900.00 
749,53882630863197758DB12944,774,18641.4,40612.00 
540,53396081592564390AI37288,453,15516.69,183572.00 
827,53972850643060988MD43282,365,12909.74,186666.00 
977,53264282550560064IL57788,1012,11216.16,38500.00 
727,53687187610493098SI72736,461,10572.65,3000000.00 
732,53732751100891416NE54627,363,4135.93,69710.00 
766,53579452014049380KA94304,483,13459.95,25052.00 
766,53973657333972400QT64853,184,963.48,700000.00 
725,53301500350124843AX41244,1985,31247.17,483950.00 
725,53829827555163013FO11257,4805,114668.64,300000.00 
134,53701213288434917LH11979,1769,17887.16,33372.00 
134,53607331061212284JJ77497,1013,2098.43,51138.00 
719,53658927758602649DV26285,2258,14942.02,1000000.00 
725,53327921069431283JH10223,744,5238.31,299400.00 
497,53158956642647352LY83936,2232,17413.99,50000.00 
736,53840595237590104WN28539,2408,52003.41,128520.00 
863,53194497539033712TJ33870,5538,974192.55,6500000.00 
784,53711260670035450HX28434,997,7143.62,603009.00 
980,53339559308728299KO19697,746,9174.77,507369.00 
541,53777564310297597IG78487,373,6157.05,68000.00 
190,53612094703937539DD98985,191,440.1,147000.00 
413,53615457939332541CB78472,1054,6122.79,120000.00 
736,53110868472033516TI28616,1265,37120.91,275000.00 
299,53140721632845636OG48269,411,8313.72,47226.00 
142,53102603973133002YF20619,592,41189.12,283250.00 
756,53496335925173444DI21827,3702,345104.63,10000000.00 
292,53578936012768528ML82818,1,1200,0.00 
550,53840338941109310UN70025,259,723.74,216000.00 
794,53913289162858843EO87446,1126,11951.12,2000000.00 
236,53695399070660032DN77275,193,804.44,100000.00 
794,53414428177124640AT21666,1024,9041.54,50000.00 
79,53149864865501403VS95968,427,2121.57,200000.00 
794,53473135531588177QQ90428,1656,18731.46,2000000.00 
976,53691117727391974VX12381,260,630.28,196660.00 
233,53674385121262480TM75628,1244,31377.44,981000.00 
402,53742019682182622OY16935,7896,240333.04,3000000.00 
402,53430246530150601TL68489,258,3808,1000000.00 
866,53632271794680702EZ94331,2829,211051.04,942684.00 
866,53986605393459106BC93835,3084,20152.7,510000.00 
327,53126440634549666PV21759,3132,526226.45,2816000.00 
737,53812689700543886WN52833,343,4338.49,444500.00 
212,53436560903136835JD50412,3872,77557.6,1000000.00 
160,53956168248066378IZ15478,507,263853.03,3000000.00 
79,53501732459974571MY95103,207,5088.92,42100.00 
79,53288085428441021FZ75551,272,2348.29,1246300.00 
719,53151260525872894MK97850,1134,3615.98,60000.00 
426,53459591809594154AT17193,134,140.63,3000000.00 
426,53685949204949570WT46883,294,624.47,15186300.00 
152,53268934629965537CW38009,1384,8865.34,50000.00 
754,53750329480726681TK38024,1325,5517,230000.00 
